place,type_of_meteorite,subgroup_of_meteorite,group_of_meteorite,mass_g,fell_found01,fell_found,year,longitude,latitude
LEW 86382,H6,Chondrite,Stony,21.8,1,Found,1986,161.69362,-84.27375
QUE 99148,H6,Chondrite,Stony,21.8,1,Found,1999,168,-84
Y-791929,H6,Chondrite,Stony,21.78,1,Found,1979,35.66667,-71.5
Y-74593,H6,Chondrite,Stony,21.77,1,Found,1974,35.66667,0
LEW 85381,H6,Chondrite,Stony,21.7,1,Found,1985,161.34716,-84.26203
LEW 88648,H6,Chondrite,Stony,21.7,1,Found,1988,161.3694,-84.27082
ALHA79024,H6,Chondrite,Stony,21.6,1,Found,1979,159.66667,-76.71667
LEW 88100,H6,Chondrite,Stony,21.6,1,Found,1988,161.40629,-84.25112
QUE 99326,H6,Chondrite,Stony,21.6,1,Found,1999,168,-84
FRO 01095,H6,Chondrite,Stony,21.6,1,Found,2001,160.46083,-72.95333
Y-74103,H6,Chondrite,Stony,21.59,1,Found,1974,35.66667,-71.5
FRO 03053,H6,Chondrite,Stony,21.54,1,Found,2003,160.46431,-72.95281
ALH 87901,H6,Chondrite,Stony,21.5,1,Found,1987,159.3175,-76.70624
QUE 97876,H6,Chondrite,Stony,21.5,1,Found,1997,168,-84
Dho 177,H6,Chondrite,Stony,21.5,1,Found,2000,54.5325,19.06667
RdDL 002,H6,Chondrite,Stony,21.5,1,Found,2001,-114.02437,35.65306
EET 96178,H6,Chondrite,Stony,21.4,1,Found,1996,157.16667,-76.18333
A-87254,H6,Chondrite,Stony,21.33,1,Found,1987,26,-72
Y-793233,H6,Chondrite,Stony,21.31,1,Found,1979,35.66667,-71.5
MET 01251,H6,Chondrite,Stony,21.3,1,Found,2001,159.75,-79.68333
ALH 88043,H6,Chondrite,Stony,21.1,1,Found,1988,158.73966,-76.72216
A-880943,H6,Chondrite,Stony,21,1,Found,1988,26,-72
QUE 971006,H6,Chondrite,Stony,21,1,Found,1997,168,-84
MET 001089,H6,Chondrite,Stony,21,1,Found,2000,159.75,-79.68333
BiZ 006,H6,Chondrite,Stony,21,1,Found,2008,10.19528,31.89831
Y-74424,H6,Chondrite,Stony,20.99,1,Found,1974,35.66667,0
MET 00902,H6,Chondrite,Stony,20.95,1,Found,2000,155.75,-79.68333
GRV 99009,H6,Chondrite,Stony,20.91,1,Found,2000,75.2,-73.08333
ALH 84208,H6,Chondrite,Stony,20.9,1,Found,1984,156.93099,-76.96206
QUE 97285,H6,Chondrite,Stony,20.9,1,Found,1997,168,-84
PCA 01020,H6,Chondrite,Stony,20.9,1,Found,2002,-68.79067,-85.68567
LAP 02252,H6,Chondrite,Stony,20.76,1,Found,2002,-70,-86.36667
Y-75281,H6,Chondrite,Stony,20.7,1,Found,1975,35.66667,-71.5
ALH 85109,H6,Chondrite,Stony,20.7,1,Found,1985,159.39232,-76.70592
LEW 87203,H6,Chondrite,Stony,20.7,1,Found,1987,161.69498,-84.27359
MET 001030,H6,Chondrite,Stony,20.7,1,Found,2000,159.75,-79.68333
PCA 01022,H6,Chondrite,Stony,20.7,1,Found,2002,-68.60183,-85.6755
Y-792766,H6,Chondrite,Stony,20.6,1,Found,1979,35.66667,-71.5
LEW 88077,H6,Chondrite,Stony,20.6,1,Found,1988,161.40661,-84.24496
ALH 88048,H6,Chondrite,Stony,20.6,1,Found,1988,159.3436,-76.68947
FRO 90073,H6,Chondrite,Stony,20.6,1,Found,1990,160.46457,-72.95563
Y-74422,H6,Chondrite,Stony,20.58,1,Found,1974,35.66667,0
A-881858,H6,Chondrite,Stony,20.56,1,Found,1988,26,-72
A-87255,H6,Chondrite,Stony,20.53,1,Found,1987,26,-72
QUE 94275,H6,Chondrite,Stony,20.5,1,Found,1994,168,-84
FRO 97027,H6,Chondrite,Stony,20.5,1,Found,1997,160.51778,-72.95222
Y-74551,H6,Chondrite,Stony,20.46,1,Found,1974,35.66667,0
Dho 790,H6,Chondrite,Stony,20.45,1,Found,2001,54.52197,19.06632
Y-74502,H6,Chondrite,Stony,20.41,1,Found,1974,35.66667,0
LEW 86348,H6,Chondrite,Stony,20.4,1,Found,1986,161.35251,-84.27985
